Name,Symbol
Developers Diversified Realty Corporation,
Dollar General Corporation,
Vanguard Total Stock Market VIPERs,
Applera Corporation,
Huntington Bancshares Incorporated,
China Telecom Corp Ltd,
"Constellation Brands, Inc.",
Toll Brothers Inc.,
Temple-Inland Inc.,
Check Point Software Technologies Ltd.,
"Republic Services, Inc.",
"Nextel Partners, Inc.",
"Red Hat, Inc.",
Dean Foods Company,
Allegheny Technologies Incorporated,
"Rexam, Plc",
Macerich Company (The),
"Getty Images, Inc.",
"Health Management Associates, Inc.",
"Monster Worldwide, Inc.",
Shaw Communications Inc.,
"Cadence Design Systems, Inc.",
Tesoro Petroleum Corporation,
"Equifax, Inc.",
JDS Uniphase Corporation,
Avaya Inc.,
Alliance Capital Management Holding L.P.,
Old Republic International Corporation,
"Liberty Global, Inc.",
"Rowan Companies, Inc.",
Duke Realty Corporation,
"Intuitive Surgical, Inc.",
BANCO DE CHILE,
Embraer-Empresa Brasileira de Aeronautica,
Wisconsin Energy Corporation,
Jacobs Engineering Group Inc.,
Weight Watchers International Inc,
Meadwestvaco Corporation,
Goodrich Corporation (The),
Engelhard Corporation,
Matav,
Dun & Bradstreet Corporation (The),
"Liberty Global, Inc.",
"BMC Software, Inc.",
iShares Russell 1000 Growth Index Fund,
St. Joe Company (The),
"Sanyo Electric Co., Ltd.",
First Tennessee National Corporation,
Huntsman Corporation,
Patterson Companies Inc.,
Radian Group Inc.,
Ashland Inc.,
Western Digital Corporation,
ADVANCE AUTO PARTS INC,
CheckFree Corporation,
Manpower Inc,
Mercantile Bankshares Corporation,
"Amylin Pharmaceuticals, Inc.",
Waters Corporation,
Metso Corporation,
Tele Norte Leste Participacoes S.A.,
Brown-Forman Corporation,
"Estee Lauder Companies, Inc. (The)",
American Power Conversion Corporation,
CB Richard Ellis Group Inc,
Hormel Foods Corporation,
Associated Banc-Corp,
"New York Community Bancorp, Inc.",
SCANA Corporation,
"Williams-Sonoma, Inc.",
"Knight-Ridder, Inc.",
Sealed Air Corporation,
"BEA Systems, Inc.",
"Station Casinos, Inc.",
Cummins Inc.,
Amcor Limited,
"King Pharmaceuticals, Inc.",
"Leggett & Platt, Incorporated",
Amphenol Corporation,
Stilwell Financial Inc.,
"Michaels Stores, Inc.",
"Urban Outfitters, Inc.",
ATI Technologies Inc.,
First American Corporation (The),
Axis Capital Holdings Limited,
CDW Corporation,
AMB Property Corporation,
"Equitable Resources, Inc.",
Trend Micro Incorporated,
IPSCO Inc.,
Salesforce.com Inc,
Lafarge Corporation,
"NVR, Inc.",
Pacific Century CyberWorks Limited,
"Ciba Specialty Chemicals Holding, Inc.",
Student Loan Corporation (The),
Regency Centers Corporation,
Sigma-Aldrich Corporation,
"CenturyTel, Inc.",
Potomac Electric Power Company,
SuperValu Inc.,
"Interpublic Group of Companies, Inc. (The)",
People's Bank,
MDU RES GROUP INC,
Comp En De Mn Cemig ADS,
Tomkins PLC,
"Mylan Laboratories, Inc.",
USG Corporation,
iShares Lehman 1-3 Year Treasury Bond Fund,
GTECH Holdings Corporation,
DENTSPLY International Inc.,
Pinnacle West Capital Corporation,
Glamis Gold Ltd.,
Ball Corporation,
"Transatlantic Holdings, Inc.",
Precision Drilling Corporation,
Brown-Forman Corporation,
Lamar Advertising Company,
"Advanced Semiconductor Engineering, Inc.",
"Federated Investors, Inc.",
Makita Corp.,
"Ross Stores, Inc.",
"Cephalon, Inc.",
Intersil Corporation,
Lincare Holdings Inc.,
"Arrow Electronics, Inc.",
"Autoliv, Inc.",
Stanley Works (The),
NAVTEQ CORP,
Citizens Communications Company,
SEI Investments Company,
TransAlta Corporation,
iShares S&P SmallCap 600 Index Fund,
"Helmerich & Payne, Inc.",
New York Times Company (The),
Alberto-Culver Company,
AMR Corporation,
Apartment Investment and Management Company,
"Henry Schein, Inc.",
Discovery Holding Co,
ENERGY TRANSFER PARTNERS,
iStar Financial Inc.,
Global Payments Inc.,
Boyd Gaming Corporation,
"American Eagle Outfitters, Inc.",
Mechel Steel Group OAO,
"Pharmaceutical Product Development, Inc.",
Liberty Property Trust,
"Brown & Brown, Inc.",
"CenterPoint Energy, Inc (Holding Co)",
Arch Capital Group Ltd.,
AmeriCredit Corporation,
Eastman Chemical Company,
"Martin Marietta Materials, Inc.",
"Novellus Systems, Inc.",
"Activision, Inc.",
"DST Systems, Inc.",
"NRG Energy, Inc.",
"Networks Associates, Inc.",
Allied Capital Corporation,
"Pentair, Inc.",
"Bunzl, plc",
Range Resources Corporation,
"Total System Services, Inc.",
"PMI Group, Inc. (The)",
"American Capital Strategies, Ltd.",
Molson Coors Brewing  Company,
"Colonial BancGroup, Inc. (The)",
Millicom International Cellular S.A.,
Quicksilver Resources Inc.,
"Compania Mina Buenaventura, S.A.",
Indiana Michigan Power Co.,
Endo Pharmaceuticals Holdings Inc.,
Vertex Pharmaceuticals Incorporated,
"Hasbro, Inc.",
"Novell, Inc.",
"Health Care Property Investors, Inc.",
ServiceMaster Company (The),
Logitech International S.A.,
Cimarex Energy Co,
"McDermott International, Inc.",
Eaton Vance Corporation,
"Family Dollar Stores, Inc.",
"Liz Claiborne, Inc.",
"Beckman Coulter, Inc.",
ChoicePoint Inc.,
"Conseco, Inc.",
City National Corporation,
"J.B. Hunt Transport Services, Inc.",
"Merrill Lynch & Co., Inc.",
"O'Reilly Automotive, Inc.",
Energy East Corporation,
"Watson Pharmaceuticals, Inc.",
"Jones Apparel Group, Inc.",
Invitrogen Corporation,
TRIZEC PROPERTIES INC,
CNX Gas Corporation,
Brunswick Corporation,
Oshkosh Truck Corporation,
"Tyson Foods, Inc.",
"Aqua America, Inc.",
Bausch & Lomb Incorporated,
Weingarten Realty Investors,
WestCorp,
Biovail Corporation,
"A.G. Edwards, Inc.",
"PETsMART, Inc.",
Pall Corporation,
Ceridian Corporation,
LSI Logic Corporation,
Millipore Corporation,
"Western Gas Resources, Inc.",
"McCormick & Company, Incorporated",
"Avnet, Inc.",
SL Green Realty Corporation,
"FMC Technologies, Inc.",
"TECO Energy, Inc.",
Covance Inc.,
"Venator Group, Inc.",
"Florida Rock Industries, Inc.",
REEBOK INTL LTD,
"Triad Hospitals, Inc.",
Freescale Semiconductor Inc,
Federal Realty Investment Trust,
Enterprise GP Holdings L.P.,
Plains Exploration & Production Company,
John Nuveen Company (The),
"Brinker International, Inc.",
PartnerRe Ltd.,
iShares Lehman TIPS Bond Fund,
Polo Ralph Lauren Corporation,
"United Dominion Realty Trust, Inc.",
Terex Corporation,
"Siliconware Precision Industries Company, Ltd.",
Alliant Energy Corporation,
Alliance Data Systems Corporation,
"Roper Industries, Inc.",
"Commerce Bancshares, Inc.",
"Dade Behring Holdings, Inc",
Cognos Incorporated,
"Outback Steakhouse, Inc.",
Cerner Corporation,
"Nasdaq Stock Market, Inc. (The)",
"HCC Insurance Holdings, Inc.",
"Teradyne, Inc.",
Cytyc Corporation,
Solectron Corporation,
Tenet Healthcare Corporation,
"Denbury Resources, Inc. (Holding Company)",
Camden Property Trust,
"Energizer Holdings, Inc.",
"Community Health Systems, Inc.",
"Ryland Group, Inc. (The)",
Inamed Corporation,
Scotts Company (The),
Tidewater Inc.,
"Owens-Illinois, Inc.",
Perusahaan Satlt Cp,
Timken Company (The),
TCF Financial Corporation,
"Charles River Laboratories International, Inc.",
"Akamai Technologies, Inc.",
Corporate Executive Board Company (The),
GLOBAL SIGNAL INC,
UTi Worldwide Inc.,
Harsco Corporation,
Streettracks Gold Trust,
Reckson Associates Realty Corporation,
"PDL BioPharma, Inc.",
Independence Community Bank Corp.,
Erie Indemnity Company,
Markel Corporation,
Whitman Corporation,
DPL Inc.,
"Cal Dive International, Inc.",
WFS Financial Inc.,
"Raymond James Financial, Inc.",
Smurfit-Stone Container Corporation,
Celanese Corporation,
Rayonier Inc. REIT,
"Renal Care Group, Inc.",
RenaissanceRe Holdings Ltd.,
Sabre Holdings Corporation,
"Bemis Company, Inc.",
"Millennium Pharmaceuticals, Inc.",
"Dai'ei, Inc.",
Forest Oil Corporation,
Compuware Corporation,
QLogic Corporation,
"Synopsys, Inc.",
Canadian Pac Ltd,
Pactiv Corporation,
CMS Energy Corporation,
Career Education Corporation,
Aramark Corporation,
Massey Energy Company,
Zebra Technologies Corporation,
iShares S&P MidCap 400 Index Fund,
"Jefferies Group, Inc.",
HON INDUSTRIES Inc.,
Signet Group plc,
"Ventas, Inc.",
"ITT Educational Services, Inc.",
"Affiliated Managers Group, Inc.",
"Plains All American Pipeline, L.P.",
Konami Corporation,
Loews Corporation,
BorgWarner Inc.,
SPX Corporation,
American National Insurance Company,
CARMAX INC,
Protective Life Corporation,
Sappi Limited,
Pittston Company (The),
Agrium Inc.,
"Crown Cork & Seal Company, Inc.",
Rhodia SA,
Ingram Micro Inc.,
Louisiana-Pacific Corporation,
Lubrizol Corporation (The),
"Choice Hotels International, Inc.",
"Symbol Technologies, Inc.",
James Hardie Industries NV,
"Hughes Supply, Inc.",
"CGI Group, Inc.",
Hospitality Properites Trust,
"Reliant Resources, Inc.",
CAPITALSOURCE INC,
"Manor Care, Inc.",
Mercury General Corporation,
iShares S&P 500/BARRA Growth Index Fund,
NSTAR,
Sonoco Products Company,
"Level 3 Communications, Inc.",
Semiconductor  Manufacturing International Corporation,
"Alamosa Holdings, Inc.",
"Internationa Flavors & Fragrances, Inc.",
iShares S&P 500/BARRA Value Index Fund,
Aluminum Corporation of China Ltd,
Investors Financial Services Corp.,
Molex Incorporated,
"Unitrin, Inc.",
"Arden Realty, Inc.",
"Reinsurance Group of America, Incorporated",
BOK Financial Corporation,
Panamsat Holding Corporation,
ImClone Systems Incorporated,
Astoria Financial Corporation,
"Advanced Medical Optics, Inc.",
"Hillenbrand Industries, Inc.",
Crompton Corporation,
Chicago Bridge & Iron Company N.V.,
"Allied Waste Industries, Inc.",
"Beazer Homes USA, Inc.",
Frontline Ltd.,
Radioshack Corporation,
"Airgas, Inc.",
"Claire's Stores, Inc.",
Northeast Utilities,
Warner Music Group Corp.,
"Smithfield Foods, Inc.",
"PerkinElmer, Inc.",
"ADC Telecommunications, Inc.",
Select Sector SPDR Fund - Energy Select Sector,
Teekay Shipping Corporation,
"Cullen/Frost Bankers, Inc.",
"Rambus, Inc.",
"American Financial Group, Inc.",
General Motors Corporation,
NISSIN CO LTD,
"YRC Worldwide, Inc.",
Cheesecake Factory Incorporated (The),
FORD MTR CO CAP TR II,
"Gildan Activewear, Inc.",
"AMTEK, Inc.",
Scientific Games Corp,
AVX Corporation,
"Fair, Isaac and Company, Incorporated",
Brandywine Realty Trust,
Energen Corporation,
iShares Russell 2000 Value Index Fund,
Nova Chemicals Corporation,
"Donaldson Company, Inc.",
Alliant Techsystems Inc.,
West Corporation,
Forest City Enterprises Inc,
"M.D.C. Holdings, Inc.",
"Shurgard Storage Centers, Inc.",
Shaw Group Inc. (The),
"Intercontinentalexchange, Inc.",
Fulton Financial Corporation,
"Pan Pacific Retail Properties, Inc.",
"JLG Industries, Inc.",
Wilmington Trust Corporation,
Buhrmann Nv,
Credicorp Ltd.,
Southern Union Company,
ResMed Inc.,
"Barnes & Noble, Inc.",
"AGL Resources, Inc.",
National Fuel Gas Company,
Arthur J. Gallagher & Co.,
"Sky Financial Group, Inc.",
"Integrated Device Technology, Inc.",
Commercial Metals Company,
Mack-Cali Realty Corporation,
Foster Wheeler Ltd.,
Goodyear Tire & Rubber Company (The),
"ONEOK, Inc.",
Unit Corporation,
Valspar Corporation (The),
TODCO,
"MDS, Inc.",
"Laidlaw International, Inc.",
"Viacom, Inc.",
Business Objects S.A.,
Meridian Gold Inc.,
Thomas & Betts Corporation,
"StanCorp Financial Group, Inc.",
Petrobras Energia Participaciones SA,
"CBL & Associates Properties, Inc.",
United States Cellular Corporation,
"Diebold, Incorporated",
Titanium Metals Corporation,
"Thornburg Mortgage, Inc.",
Saks Incorporated,
"Vishay Intertechnology, Inc.",
"CNF, Inc.",
Frontier Oil Corporation,
"Penn National Gaming, Inc.",
Bank of Hawaii Corporation,
Standard Pacific Lp,
"Silicon Laboratories, Inc.",
Sierra Pacific Resources,
iShares Lehman Aggregate Bond Fund,
"Dollar Tree Stores, Inc.",
"Stericycle, Inc.",
"W&T Offshore, Inc.",
Nalco Holding Company,
Reliance Steel & Aluminum Company,
"Kinder Morgan Management, LLC",
"IndyMac Bancorp, Inc.",
National Instruments Corporation,
FRESENIUS MED CARE AG,
"BlackRock, Inc.",
Gol Linhas Aereas Inteligentes S.A.,
Valley National Bancorp,
Allmerica Financial Corporation,
Emdeon Corporation,
"Respironics, Inc.",
Gentex Corporation,
"Laureate Education, Inc.",
"TEPPCO Partners, L.P.",
Fairfax Financial Holdings Ltd,
PrimeWest Energy Trust,
International Rectifier Corporation,
"New Plan Excel Realty Trust, Inc.",
Gen-Probe Incorporated,
"F5 Networks, Inc.",
"BRE Properties, Inc.",
Teleflex Incorporated,
Edwards Lifesciences Corporation,
Videsh Sanchar Nigam Limited,
TRW Automotive Holdings Corporation,
"Kinetic Concepts, Inc.",
Flowserve Corporation,
J.M. Smucker Company (The),
"Affymetrix, Inc.",
Webster Financial Corporation,
Cabot Oil & Gas Corporation,
CNH Global N.V.,
"Trinity Industries, Inc.",
Wesco Financial Corporation,
Packaging Corporation of America,
SCOR S.A.,
"Landstar System, Inc.",
Methanex Corporation,
Pioneer Corporation,
St. Mary Land,
"Cooper Companies, Inc. (The)",
Cabot Corporation,
"Walter Industries, Inc.",
"IDEXX Laboratories, Inc.",
OGE Energy Corporation,
Danielson Holding Corporation,
"Duff & Phelps Utilities Income, Inc.",
"Nationwide Financial Services, Inc.",
Puget Sound Energy,
Stolt Offshore S.A.,
Service Corporation International,
"ARM Holdings, plc",
Aber Diamond Corporation,
AnnTaylor Stores Corporation,
"American Pharmaceutical Partners, Inc.",
"Universal Health Services, Inc.",
"Thor Industries, Inc.",
CenterPoint Properties Trust,
Herbalife LTD.,
Havas,
Lan Chile S.A.,
"Lihir Gold, Limited",
Convergys Corporation,
"Tektronix, Inc.",
IDEX Corporation,
,
,
,
,
,
,
,
,
,
,
Washington Real Estate Investment Trust,
Iamgold Corporation,
"Trident Microsystems, Inc.",
International Speedway Corporation,
Jack In The Box Inc.,
Maytag Corporation,
Cognex Corporation,
"MAF Bancorp, Inc.",
"W-H Energy services, Inc.",
"Alliance Resource Partners, L.P.",
"RF Micro Devices, Inc.",
"Tetra Technologies, Inc.",
Haemonetics Corporation,
"Gardner Denver, Inc.",
Intrawest Corporation,
CITIGROUP CAP VIII,
"Sycamore Networks, Inc.",
Roto-Rooter Inc,
"Nuance Communications, Inc.",
"Nu Skin Enterprises, Inc.",
"Delphi Financial Group, Inc.",
AQUILA INC,
"Lee Enterprises, Incorporated",
Alfa Corporation,
STATS ChipPAC Ltd.,
Remington Oil and Gas Corporation,
Deluxe Corporation,
Life Time Fitness,
"Pinnacle Entertainment, Inc.",
"Comstock Resources, Inc.",
"P.F.Chang's China Bistro, Inc.",
Technical Olympic USA Inc,
Ship Finance International,
"RealNetworks, Inc.",
Stone Energy Corporation,
Lazard LTD.,
"IDACORP, Inc.",
"United Natural Foods, Inc.",
Dick's Sporting Goods Inc,
"Immucor, Inc.",
"Fresh Del Monte Produce, Inc.",
Beverly Enterprises. Inc.,
Tupperware Corporation,
"Allete, Inc.",
EAGLE MATERIALS INC,
Chittenden Corporation,
"Valassis Communications, Inc.",
Wells Fargo Cap IX,
Hancock Holding Company,
"Westwood One, Inc.",
"OmniVision Technologies, Inc.",
USEC Inc.,
Hercules Incorporated,
Stillwater Mining Company,
Brasil Telecom Participacoes S.A.,
"Ferrellgas Partners, L.P.",
Longs Drug Stores Corporation,
"Resources Connection, Inc.",
Greater Bay Bancorp,
iShares Small Cap 600/BARRA Growth Index Fund,
"Multi-Fineline Electronix, Inc.",
Cohen & Steers Reit and Preferred Income Fund Inc,
Quilmes Industrial (Quinsa) S.A.,
"HealthExtras, Inc.",
"Aleris International, Inc.",
Acco Brands Corporation,
Coeur d'Alene Mines Corporation,
Informatica Corporation,
BOARDWALK PIPELINE PARTNERS,
"MGI PHARMA, Inc.",
Curtiss-Wright Corporation,
Baxter International Inc.,
Andrx Group,
General Maritime Corporation,
Senior Housing Properties Trust,
Provident Financial Services,
IShares Trust FTSE-Xinhua China 25 Index Fund,
SCHERING PLOUGH CORP,
Thoratec Corporation,
"Casey's General Stores, Inc.",
Scottish RE Group Limited,
"Equinix, Inc.",
"Net 1 UEPS Technologies, Inc.",
"Alexander's, Inc.",
Corus Entertainmt Incorporated,
Wintrust Financial Corporation,
"EMCOR Group, Inc.",
"Great Atlantic & Pacific Tea Company, Inc. (The)",
Quinenco SA,
Liberty All-Star Equity Fund,
"Orient-Express Hotels, Ltd.",
"Strayer Education, Inc.",
ATMI Inc.,
Empresas Ica Soc Contrladora,
Ansell Limited,
CORPBANCA,
"Idenix Pharmaceuticals, Inc.",
"PETCO Animal Supplies, Inc.",
"SRA International, Inc",
Nuveen Preferred and Convertible Income Fund,
AK Steel Holding Corporation,
"Bio-Rad Laboratories, Inc.",
"Global Cash Access Holdings, Inc.",
OMI Corporation,
Embratel Participacoes SA,
CVB Financial Corporation,
ESCO Technologies Inc.,
"Brooks Automation, Inc.",
"Ameristar Casinos, Inc.",
"Brocade Communications Systems, Inc.",
hanarotelecom incorporated,
Umpqua Holdings Corporation,
"Bucyrus International, Inc.",
Strategic Hotel Capital Inc,
"Linens 'n Things, Inc.",
Kronos Incorporated,
NewJersey Resources Corporation,
Biomed Realty Trust,
Perdigao S.A.,
"Applied Industrial Technologies, Inc.",
"Owens & Minor, Inc.",
"Under Armour, Inc.",
Plexus Corp.,
LaSalle Hotel Properties,
ATP Oil & Gas Corporation,
"Commercial Net Lease Realty, Inc.",
"Texas Industries, Inc.",
"Labor Ready, Inc.",
Rydex ETF Trust,
Spansion Inc.,
Tele Centro Oest Celular Participacoes S.A.,
Arris Group Inc,
Merrill Lynch Semiconductor HOLDRS,
"Nuveen Insured Municipal Opportunity Fund, Inc.",
Sina Corporation,
Digital Insight Corporation,
"Hearst-Argyle Television, Inc.",
"ArvinMeritor, Inc.",
"CEC Entertainment, Inc.",
"Transaction Systems Architects , Inc.",
Banta Corporation,
Masisa Sa Ads,
Arbitron Inc.,
iShares Dow Jones U.S. Health Care Index Fund,
"Furniture Brands International, Inc.",
"Pantry, Inc. (The)",
WCI Communities Inc,
Randgold Resources Limited,
Domtar Incorporated,
Forward Air Corporation,
U-Store-It Trust,
ABN AMRO CAP FDG TR V,
"Children's Place Retail Stores, Inc. (The)",
"CommScope, Inc.",
Penn Virginia Corporation,
"Theravance, Inc.",
Universal Corporation,
MERRILL LYNCH & CO INC,
Nuveen Equity Premium Opportunity Fund,
Putnam Premier Income Trust,
New River Pharmaceuticals Inc.,
American Greetings Corporation,
"Dril-Quip, Inc.",
American Reporgraphics Company,
"Apria Healthcare Group, Inc.",
Provident Bankshares Corporation,
VistaPrint Limited,
"Bois D'Arc Energy, Inc.",
iShares S&P Europe 350 Index Fund,
Scholastic Corporation,
"CCE Spinco, Inc.",
Zale Corporation,
Citizens Banking Corporation,
Matthews International Corporation,
"Magellan Health Services, Inc.",
FelCor Lodging Trust Incorporated,
"FormFactor, Inc.",
Newcastle Investment Corporation,
"Gabelli Equity Trust, Inc. (The)",
SANTANDER BANCORP,
Midway Games Inc.,
"Varian, Inc.",
"China Medical Technologies, Inc.",
Alabama National BanCorporation,
"SSA Global Technologies, Inc.",
Companhia Paranaense de Energia (COPEL),
"Kingsway Financial Services, Inc.",
Eldorado Gold Corp,
"Itron, Inc.",
"Digital River, Inc.",
Delta Petroleum Corporation,
j2 Global Communications Inc,
"MKS Instruments, Inc.",
Black Hills Corporation,
"Aviall, Inc.",
"Revlon, Inc.",
Petrohawk Energy Corporation,
Belden CDT Inc,
Doral Financial Corporation,
Shanda Interactive Entertainment Limited,
"Advance America, Cash Advance Centers, Inc.",
Parker Drilling Company,
"Digitas, Inc.",
PSS World Medical Inc.,
FileNet Corporation,
iShares Lehman 7-10 Year Treasury Bond Fund,
"Quality Systems, Inc.",
Callaway Golf Company,
"Sonus Networks, Inc.",
Verint Systems Inc.,
Georgia Gulf Corporation,
"Knight Capital Group, Inc.",
BBVA Banco Frances S.A.,
